---,PropID,PropName,PropDescription,PropCategory,PropSubCategories,PropIcon,PropClass
1001,1001,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""AC0A4B6A40BC3FE9A07554A433D3D757"", ""술통"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1B7BE61C4FBAED8606E64D830FBCAC44"", ""술통"")",Basic,(Wood),/Script/Engine.Texture2D'/Game/Props/Build/Textures/BarrelTexture.BarrelTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BarrelProp.BP_BarrelProp_C'
1002,1002,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""5C7AF05D4EA6C965820C069D48E731E1"", ""다리 시작"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F37F4B24421F1DC9F6667EA0D3093C47"", ""다리 시작 부분"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BridgeStart.BridgeStart',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BridgeStartProp.BP_BridgeStartProp_C'
1003,1003,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F11036F74CA1180528D7CBBD10A77EB0"", ""다리 타일"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""524006974AE0BCEF00E366A9FF3E16C9"", ""다리 타일"")",Basic,"(Wood,Build)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BridgeTile.BridgeTile',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BridgeTileProp.BP_BridgeTileProp_C'
1004,1004,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2B33E3FB4B55DF94D8F156B16BE152FD"", ""수풀1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""B80895D044CCCFC38FF3299821F96FAB"", ""수풀1"")",Basic,"(Plant,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BushOneTexture.BushOneTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BushOneProp.BP_BushOneProp_C'
1005,1005,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2D30536C40A1E48E674BEF91A254B97F"", ""수풀2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2970C0C4477CFE1F5502FD8FCF5B24DC"", ""수풀2"")",Basic,"(Plant,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BushTwoTexture.BushTwoTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BushTwoProp.BP_BushTwoProp_C'
1006,1006,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""DE8474F7465C531594FC4894F63B4E54"", ""수풀3"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""7AC1D86C4DFE6E3AB6BEAEB8DCAEE175"", ""수풀3"")",Basic,"(Plant,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BushThreeTexture.BushThreeTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BushThreeProp.BP_BushThreeProp_C'
1007,1007,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""73F12EB7400A2B67BE5B84A91318C1C4"", ""수풀4"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""F667B45341B0B92E7B1DCB8F294895C7"", ""수풀4"")",Basic,"(Plant,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BushFourTexture.BushFourTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BushFourProp.BP_BushFourProp_C'
1008,1008,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""6A5C2D4E48F49F832D9F1D9A81D4E461"", ""수풀5"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""1BC8754645C8A638A97D4E8860E8F177"", ""수풀5"")",Basic,"(Plant,Summer)",/Script/Engine.Texture2D'/Game/Props/Build/Textures/BushFiveTexture.BushFiveTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_BushFiveProp.BP_BushFiveProp_C'
1009,1009,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""3CC0570542CB2FDDAFB0DF8E843DC31C"", ""선인장1"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""BA92C6794554F9E341CD2985623CD0E8"", ""선인장1"")",Basic,(Plant),/Script/Engine.Texture2D'/Game/Props/Build/Textures/CactusOneTexture.CactusOneTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_CactusOneProp.BP_CactusOneProp_C'
1010,1010,"NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""3A8DABC7478CB4B2896431A8DC07E3EB"", ""선인장2"")","NSLOCTEXT(""[9781E5AB24D0855921CD012FC33C4639]"", ""2363B3DB4469764EC4CA0DB1D50A1581"", ""선인장2"")",Basic,(Plant),/Script/Engine.Texture2D'/Game/Props/Build/Textures/CactusTwoTexture.CactusTwoTexture',/Script/Engine.BlueprintGeneratedClass'/Game/Props/Build/BP_CactusTwoProp.BP_CactusTwoProp_C'
